Name,Age,Gender,Date of Birth,Location,Current Savings,Debt Amount,Job Type,Education Level,Number of Logins,Satisfaction Rating,Product Usage,Social Media Usage,ISA at 18
Dr. Julie Higgins,16,Female,24/11/2005,,625,682,Student,GCSEs,45,1,Rare,Frequent,All withdrawn
Kimberly Barajas,17,Female,05/08/2006,,845,2916,Student,Apprenticeships,21,2,Occasional,Frequent,All withdrawn
Shelby Lane,16,Female,18/01/2007,,744,3550,Student,GCSEs,41,3,Occasional,Frequent,All withdrawn
Michael Wong,16,Female,31/01/2006,,971,2974,Student,Other Qualifications,35,2,Frequent,Frequent,All withdrawn
Martin Ross,17,Male,05/02/2007,,645,1329,Student,Apprenticeships,25,3,Occasional,Frequent,All withdrawn
Brenda Young,17,Male,06/02/2007,,311,2770,Student,Other Qualifications,32,1,Rare,Frequent,All withdrawn
Melissa Baker,16,Male,21/10/2005,,63,1127,Student,GCSEs,32,2,Occasional,Frequent,All withdrawn
Joanna Martin,16,Male,20/04/2005,,320,4874,Student,Apprenticeships,41,2,Rare,Frequent,All withdrawn
Tammy Shields,16,Male,09/12/2006,,95,4227,Student,GCSEs,23,1,Rare,Frequent,All withdrawn
Christopher Browning,17,Female,25/09/2005,,71,1642,Student,Apprenticeships,36,1,Occasional,Occasional,All withdrawn
Lisa Morgan,16,Male,19/04/2005,,799,1309,Student,Apprenticeships,26,3,Rare,Frequent,All withdrawn
Michelle Padilla,16,Female,27/10/2005,,931,1015,Student,Other Qualifications,50,1,Occasional,Frequent,All withdrawn
Michael Perry,16,Male,21/03/2006,,942,3582,Student,GCSEs,30,1,Rare,Frequent,All withdrawn
Megan Martinez,17,Female,27/02/2007,,740,760,Student,BTECs,39,3,Frequent,Frequent,All withdrawn
Robert Wagner,17,Male,04/12/2006,,23,4095,Student,Other Qualifications,35,3,Frequent,Frequent,All withdrawn
Robert Stevenson,16,Male,25/10/2006,,101,3039,Student,Other Qualifications,28,1,Rare,Frequent,All withdrawn
Mrs. Isabella Wilson,16,Male,19/11/2005,,398,1605,Student,GCSEs,40,3,Occasional,Frequent,All withdrawn
Kim Ferguson,17,Female,02/03/2007,,806,4729,Student,Other Qualifications,24,3,Rare,Frequent,All withdrawn
Teresa Ruiz,16,Female,17/03/2007,,833,2138,Student,Apprenticeships,26,1,Occasional,Frequent,All withdrawn
Jeffery Beck PhD,17,Male,14/08/2005,,232,3694,Student,Apprenticeships,20,1,Rare,Frequent,All withdrawn
Troy Mack,16,Male,12/03/2006,,834,2362,Student,GCSEs,32,3,Occasional,Frequent,All withdrawn
Patrick Cannon,16,Male,01/12/2006,,300,2487,Student,Other Qualifications,36,3,Occasional,Frequent,All withdrawn
Christopher Morales,17,Male,20/11/2005,,673,744,Student,A-Levels,40,1,Rare,Frequent,All withdrawn
Joshua Anderson MD,17,Female,06/06/2006,,160,1294,Student,Other Qualifications,29,3,Rare,Frequent,All withdrawn
Seth George,16,Female,24/06/2006,,138,4019,Student,GCSEs,23,2,Rare,Frequent,All withdrawn
Linda Anderson,16,Male,27/10/2006,,510,2316,Student,BTECs,43,3,Rare,Frequent,All withdrawn
Kenneth Parker,16,Female,23/06/2006,,229,1830,Student,GCSEs,34,3,Rare,Frequent,All withdrawn
Brent Mcintosh,16,Female,20/12/2006,,995,809,Student,GCSEs,41,3,Occasional,Frequent,All withdrawn
Lindsey Hoffman,16,Male,06/05/2006,,310,1372,Student,Apprenticeships,31,2,Rare,Frequent,All withdrawn
Nicole Henderson,16,Female,31/07/2006,,39,3642,Student,BTECs,33,2,Rare,Frequent,All withdrawn
Cole Long,17,Male,13/04/2005,,94,4407,Student,Apprenticeships,23,3,Occasional,Frequent,All withdrawn
Jorge Howard,17,Male,01/08/2005,,463,2596,Student,A-Levels,30,2,Rare,Occasional,All withdrawn
Jonathan Morales,16,Male,08/03/2007,,934,1376,Student,GCSEs,25,3,Rare,Frequent,All withdrawn
Keith Bowen,16,Female,18/05/2005,,632,1180,Student,Other Qualifications,30,2,Occasional,Frequent,All withdrawn
Jacob Richardson,16,Female,20/07/2006,,196,4473,Student,Apprenticeships,41,3,Rare,Frequent,All withdrawn
Wendy Mitchell,17,Female,16/01/2007,,718,2605,Student,Other Qualifications,48,2,Rare,Frequent,All withdrawn
Andrew Guzman,17,Male,19/07/2005,,65,1518,Student,BTECs,43,2,Occasional,Frequent,All withdrawn
Samuel Gray,17,Female,30/03/2007,,674,3815,Student,Other Qualifications,43,1,Rare,Frequent,All withdrawn
Sarah Murray,16,Male,04/02/2007,,201,4084,Student,Other Qualifications,24,3,Frequent,Frequent,All withdrawn
Alyssa Mcgee,16,Female,05/03/2007,,250,4494,Student,BTECs,25,1,Rare,Frequent,All withdrawn
Erin Anderson,16,Male,17/02/2006,,72,2835,Student,BTECs,30,2,Occasional,Frequent,All withdrawn
Jessica Thompson,16,Male,06/07/2006,,503,4732,Student,Apprenticeships,28,3,Occasional,Frequent,All withdrawn
John Collins,16,Male,25/02/2006,,273,552,Student,Apprenticeships,29,1,Occasional,Frequent,All withdrawn
Alex Warner,17,Male,10/10/2006,,431,680,Student,Apprenticeships,40,2,Rare,Frequent,All withdrawn
April Cook,17,Female,15/02/2007,,376,3601,Student,BTECs,30,3,Occasional,Frequent,All withdrawn
Leah Koch,17,Female,28/05/2006,,457,4398,Student,Other Qualifications,44,3,Occasional,Frequent,All withdrawn
Russell Mueller,17,Female,10/09/2006,,48,4020,Student,Apprenticeships,29,2,Frequent,Frequent,All withdrawn
Monique Washington,17,Male,02/02/2006,,998,4463,Student,Other Qualifications,20,2,Rare,Frequent,All withdrawn
Jonathan Anderson,17,Female,04/06/2006,,278,3839,Student,BTECs,42,1,Frequent,Frequent,All withdrawn
Breanna Stein,16,Female,10/10/2005,,690,2108,Student,BTECs,30,3,Occasional,Frequent,All withdrawn
Shelby Bruce,16,Male,23/06/2005,,840,560,Student,BTECs,25,3,Occasional,Frequent,All withdrawn
James Barrett,16,Male,12/09/2006,,584,4879,Student,BTECs,23,1,Rare,Occasional,All withdrawn
Scott Morrison,17,Female,20/02/2007,,343,4578,Student,Other Qualifications,27,1,Rare,Frequent,All withdrawn
Betty Davis,16,Female,26/10/2006,,859,3503,Student,Apprenticeships,29,3,Rare,Frequent,All withdrawn
Gabrielle Mahoney,16,Female,27/09/2005,,267,3358,Student,Apprenticeships,40,1,Occasional,Frequent,All withdrawn
Denise Snow,16,Female,05/12/2005,,570,910,Student,Other Qualifications,29,3,Rare,Occasional,All withdrawn
Roy Hernandez,17,Female,09/07/2005,,87,2078,Student,Apprenticeships,45,3,Rare,Frequent,All withdrawn
Kathy Brown,17,Female,28/12/2005,,700,4531,Student,Other Qualifications,36,1,Rare,Frequent,All withdrawn
Anthony Henderson,17,Male,04/06/2006,,953,2925,Student,Apprenticeships,21,2,Frequent,Frequent,All withdrawn
Maria Hanson,17,Male,30/12/2005,,871,842,Student,Other Qualifications,27,1,Frequent,Occasional,All withdrawn
Jennifer Carter,16,Male,26/12/2006,,271,787,Student,Apprenticeships,41,1,Rare,Frequent,All withdrawn
Jennifer Bryant,16,Female,14/10/2005,,265,3846,Student,BTECs,20,2,Rare,Occasional,All withdrawn
Tina James,16,Female,13/04/2005,,357,2312,Student,Apprenticeships,34,1,Rare,Frequent,All withdrawn
Matthew Gibbs,16,Female,12/07/2006,,15,512,Student,Other Qualifications,37,2,Occasional,Frequent,All withdrawn
Vincent Abbott,16,Female,14/05/2006,,880,4003,Student,Other Qualifications,45,1,Occasional,Frequent,All withdrawn
Amy Thomas,17,Female,11/05/2005,,150,4661,Student,Apprenticeships,41,3,Rare,Frequent,All withdrawn
Elizabeth Cardenas,17,Male,10/05/2005,,579,2697,Student,Apprenticeships,46,3,Rare,Frequent,All withdrawn
Joseph Huang,16,Female,05/12/2005,,713,3563,Student,BTECs,21,1,Rare,Frequent,All withdrawn
Rachel Esparza,16,Female,13/03/2007,,861,978,Student,Other Qualifications,25,3,Occasional,Frequent,All withdrawn
Brittany Hess,17,Female,17/01/2007,,714,4409,Student,Other Qualifications,47,3,Rare,Frequent,All withdrawn
Joshua Sandoval,16,Male,11/11/2006,,390,2803,Student,GCSEs,45,1,Frequent,Frequent,All withdrawn
Chad West,17,Male,25/04/2006,,215,1666,Student,BTECs,29,3,Rare,Frequent,All withdrawn
April Jenkins,17,Male,27/06/2005,,450,2208,Student,Other Qualifications,26,2,Rare,Frequent,All withdrawn
Latoya Roberts,17,Female,26/10/2006,,698,2521,Student,Apprenticeships,39,3,Occasional,Frequent,All withdrawn
Michelle Lewis,16,Male,09/03/2006,,95,1698,Student,Other Qualifications,37,1,Occasional,Frequent,All withdrawn
Mary Schneider,16,Male,26/02/2006,,319,1143,Student,GCSEs,23,3,Rare,Occasional,All withdrawn
Joshua Spence,16,Male,24/09/2005,,30,1496,Student,GCSEs,43,1,Rare,Frequent,All withdrawn
Alicia Evans,17,Female,25/07/2006,,945,527,Student,A-Levels,23,2,Rare,Frequent,All withdrawn
Gina Jacobs,17,Female,23/01/2006,,613,3132,Student,BTECs,20,2,Rare,Frequent,All withdrawn
Christopher Combs,17,Male,07/02/2007,,304,1731,Student,Other Qualifications,41,2,Rare,Frequent,All withdrawn
Maria Hodges,17,Male,29/05/2006,,565,1284,Student,Apprenticeships,20,1,Occasional,Frequent,All withdrawn
Matthew Adams,17,Male,02/05/2005,,457,1578,Student,BTECs,33,3,Rare,Frequent,All withdrawn
Kimberly French,16,Female,03/11/2005,,896,2871,Student,Apprenticeships,20,1,Occasional,Frequent,All withdrawn
Noah Campbell,16,Male,25/02/2007,,9,680,Student,Apprenticeships,31,3,Occasional,Frequent,All withdrawn
Cassandra Wilson,16,Female,25/11/2005,,284,2597,Student,GCSEs,33,3,Rare,Frequent,All withdrawn
Laurie Franco MD,16,Female,22/06/2005,,266,605,Student,Apprenticeships,40,2,Rare,Frequent,All withdrawn
Mary Torres,16,Male,06/11/2005,,51,3143,Student,GCSEs,49,1,Rare,Frequent,All withdrawn
Cesar Matthews,16,Male,10/02/2006,,342,2224,Student,BTECs,46,2,Occasional,Frequent,All withdrawn
Jennifer White,16,Male,30/08/2006,,896,1995,Student,Apprenticeships,48,3,Occasional,Frequent,All withdrawn
Jenna Baker,16,Male,14/05/2006,,442,1025,Student,BTECs,35,2,Occasional,Frequent,All withdrawn
Katelyn Scott,17,Female,30/10/2006,,849,3480,Student,Apprenticeships,50,2,Rare,Frequent,All withdrawn
Adam Young,16,Female,12/07/2006,,667,1940,Student,GCSEs,37,2,Rare,Frequent,All withdrawn
Michael Pierce,17,Male,28/02/2006,,291,4038,Student,A-Levels,21,2,Occasional,Frequent,All withdrawn
Sandra Crawford,17,Male,27/04/2006,,760,3377,Student,A-Levels,36,3,Occasional,Frequent,All withdrawn
Belinda Brown,16,Female,05/10/2006,,22,2821,Student,GCSEs,33,3,Occasional,Frequent,All withdrawn
Dustin Pruitt,16,Male,25/01/2007,,999,1473,Student,GCSEs,43,3,Occasional,Frequent,All withdrawn
Victoria Robinson,17,Female,02/03/2007,,991,3718,Student,Apprenticeships,25,2,Rare,Frequent,All withdrawn
Daniel Rush,16,Male,09/12/2005,,837,4831,Student,GCSEs,45,1,Occasional,Frequent,All withdrawn
Casey Navarro,17,Female,16/02/2007,,1000,2064,Student,BTECs,32,2,Rare,Frequent,All withdrawn
Shannon Cruz,17,Male,15/04/2005,,436,2103,Student,BTECs,50,2,Occasional,Frequent,All withdrawn
Michelle Nguyen,17,Male,19/05/2006,,141,1328,Student,Apprenticeships,24,3,Rare,Frequent,All withdrawn
Terri Compton,16,Female,26/12/2005,,557,3061,Student,Apprenticeships,39,2,Rare,Frequent,All withdrawn
Angel Dawson,17,Female,14/03/2006,,963,976,Student,A-Levels,36,3,Occasional,Frequent,All withdrawn
Teresa Graham,16,Male,12/03/2006,,49,655,Student,Other Qualifications,25,1,Rare,Frequent,All withdrawn
Kim Wong,17,Male,20/01/2007,,602,1135,Student,Other Qualifications,30,1,Occasional,Frequent,All withdrawn
Andrea Mullins,17,Male,29/10/2005,,604,2189,Student,A-Levels,39,1,Rare,Frequent,All withdrawn
Carrie Blanchard,17,Female,22/08/2006,,962,2645,Student,Other Qualifications,40,2,Rare,Frequent,All withdrawn
Brandi Rodriguez,16,Female,14/02/2007,,750,1380,Student,Other Qualifications,26,3,Occasional,Frequent,All withdrawn
Karen Hammond,16,Male,23/09/2006,,803,3515,Student,BTECs,31,1,Rare,Occasional,All withdrawn
Sean Norman,17,Female,01/11/2005,,490,2272,Student,Apprenticeships,29,2,Rare,Frequent,All withdrawn
Joseph Chavez,16,Female,23/01/2006,,354,2734,Student,Apprenticeships,23,2,Rare,Frequent,All withdrawn
Melissa Smith,17,Male,03/07/2006,,29,957,Student,A-Levels,48,2,Occasional,Frequent,All withdrawn
Jimmy Murray,16,Female,19/10/2005,,693,4506,Student,Apprenticeships,39,1,Occasional,Frequent,All withdrawn
Francisco Roth,17,Male,16/03/2007,,64,2188,Student,Other Qualifications,26,3,Rare,Frequent,All withdrawn
Dr. Michael Sutton,16,Male,27/01/2006,,639,4774,Student,BTECs,42,2,Rare,Frequent,All withdrawn
Christina Shaw,16,Female,23/01/2006,,16,4491,Student,Other Qualifications,31,1,Occasional,Frequent,All withdrawn
Susan Vincent,17,Female,29/05/2005,,904,794,Student,Apprenticeships,35,3,Frequent,Frequent,All withdrawn
Timothy Sanders,17,Male,03/03/2006,,427,2671,Student,Other Qualifications,37,3,Frequent,Frequent,All withdrawn
Andrew Morton,17,Female,14/07/2006,,505,3775,Student,A-Levels,36,3,Occasional,Frequent,All withdrawn
Tyler Brandt,17,Male,12/06/2006,,870,586,Student,Other Qualifications,29,2,Occasional,Frequent,All withdrawn
Shannon Donovan,16,Female,05/10/2005,,127,2762,Student,Other Qualifications,45,3,Rare,Occasional,All withdrawn
Troy Scott,16,Female,30/12/2005,,754,3373,Student,Other Qualifications,31,3,Rare,Frequent,All withdrawn
Stephen Best,16,Female,12/02/2006,,900,1327,Student,GCSEs,21,3,Occasional,Frequent,All withdrawn
Mark Williams MD,17,Female,01/12/2005,,399,3125,Student,A-Levels,50,3,Occasional,Frequent,All withdrawn
Chelsea Gregory,17,Female,15/06/2005,,305,2233,Student,Other Qualifications,38,1,Occasional,Frequent,All withdrawn
John Underwood,16,Female,31/07/2005,,823,4440,Student,GCSEs,28,1,Rare,Frequent,All withdrawn
Anthony Lester,16,Female,26/07/2006,,870,2956,Student,BTECs,46,2,Occasional,Frequent,All withdrawn
Kathryn Robinson,17,Male,02/04/2006,,623,798,Student,BTECs,48,1,Frequent,Frequent,All withdrawn
Julie Gomez,17,Female,01/03/2006,,778,2881,Student,Other Qualifications,21,3,Occasional,Frequent,All withdrawn
Benjamin Colon,16,Female,08/04/2007,,403,3623,Student,BTECs,22,1,Rare,Frequent,All withdrawn
Jerry Jackson,16,Male,24/06/2006,,729,4694,Student,GCSEs,27,1,Rare,Frequent,All withdrawn
Chad Caldwell,16,Male,30/09/2005,,184,3568,Student,BTECs,24,2,Occasional,Frequent,All withdrawn
Thomas Thomas,17,Male,25/02/2006,,294,1802,Student,Other Qualifications,48,1,Rare,Occasional,All withdrawn
Robert Hopkins,16,Male,29/11/2006,,998,4799,Student,Other Qualifications,37,2,Rare,Frequent,All withdrawn
Beth Olson,16,Male,10/04/2006,,280,1682,Student,GCSEs,41,2,Rare,Frequent,All withdrawn
Matthew Gill,17,Female,31/05/2006,,862,4869,Student,Apprenticeships,48,1,Rare,Frequent,All withdrawn
Amy Lee,17,Female,21/05/2006,,182,2614,Student,A-Levels,26,3,Occasional,Frequent,All withdrawn
Jamie Sherman,17,Female,21/05/2006,,873,504,Student,BTECs,23,1,Rare,Frequent,All withdrawn
Stephanie Adkins,16,Female,25/02/2006,,123,1104,Student,GCSEs,21,3,Rare,Frequent,All withdrawn
Kimberly Webster,16,Male,04/12/2005,,49,4004,Student,BTECs,33,2,Rare,Frequent,All withdrawn
Kimberly Powell,16,Male,05/08/2005,,178,2099,Student,BTECs,39,1,Occasional,Frequent,All withdrawn
Leah Bruce,17,Male,21/04/2005,,477,604,Student,A-Levels,26,3,Frequent,Frequent,All withdrawn
Charles Johnson,16,Female,23/02/2007,,12,1034,Student,Apprenticeships,26,3,Rare,Frequent,All withdrawn
Mrs. Ashley Roberts,16,Male,03/09/2006,,468,4920,Student,GCSEs,25,1,Rare,Occasional,All withdrawn
Crystal Miller,16,Female,17/11/2006,,705,4584,Student,Other Qualifications,30,2,Rare,Frequent,All withdrawn
Alexandra Caldwell,17,Female,24/02/2007,,523,4288,Student,Other Qualifications,27,3,Rare,Frequent,All withdrawn
Mr. Lawrence Pearson,16,Female,11/12/2005,,695,2174,Student,Apprenticeships,26,2,Rare,Frequent,All withdrawn
Gregory Rose,17,Male,10/05/2006,,176,1673,Student,A-Levels,30,2,Rare,Frequent,All withdrawn
Katie Smith,16,Female,16/10/2005,,271,4604,Student,GCSEs,38,3,Occasional,Frequent,All withdrawn
Michael Williams,16,Male,29/08/2005,,644,3869,Student,GCSEs,34,2,Occasional,Frequent,All withdrawn
Stacy Edwards,17,Female,18/01/2007,,218,3143,Student,Other Qualifications,39,1,Rare,Occasional,All withdrawn
Teresa White,16,Female,17/10/2005,,759,2673,Student,BTECs,22,1,Occasional,Frequent,All withdrawn
Frank Lee,16,Male,04/05/2006,,867,1571,Student,Apprenticeships,42,3,Occasional,Frequent,All withdrawn
Mary Rowe,17,Male,01/06/2006,,981,4462,Student,Other Qualifications,35,3,Occasional,Frequent,All withdrawn
Vincent James,16,Female,27/04/2005,,141,503,Student,BTECs,29,3,Rare,Frequent,All withdrawn
Melissa Wright,17,Male,26/05/2006,,559,4656,Student,Apprenticeships,47,3,Occasional,Frequent,All withdrawn
Justin Davis,17,Male,21/12/2005,,737,3658,Student,Apprenticeships,42,2,Rare,Frequent,All withdrawn
Bobby Foster,16,Male,14/04/2006,,104,4736,Student,GCSEs,35,3,Occasional,Occasional,All withdrawn
Michael Wilkerson,16,Female,23/09/2005,,331,2040,Student,BTECs,31,1,Occasional,Frequent,All withdrawn
James Neal,16,Female,13/06/2005,,321,769,Student,GCSEs,50,2,Occasional,Frequent,All withdrawn
Dr. Joseph Palmer,16,Female,21/01/2006,,283,805,Student,Apprenticeships,34,3,Rare,Frequent,All withdrawn
Jennifer Park,17,Female,11/11/2005,,236,604,Student,BTECs,44,1,Rare,Frequent,All withdrawn
Melinda Williamson,16,Male,25/11/2006,,339,990,Student,BTECs,29,1,Rare,Frequent,All withdrawn
Richard Thompson,17,Male,12/02/2006,,503,3067,Student,BTECs,48,3,Occasional,Frequent,All withdrawn
Robert Cooper,17,Female,18/03/2006,,942,1315,Student,A-Levels,39,3,Rare,Frequent,All withdrawn
Brandon Harper,17,Male,02/10/2005,,107,629,Student,BTECs,49,3,Occasional,Frequent,All withdrawn
Veronica Mcpherson,16,Male,05/06/2006,,439,3632,Student,Apprenticeships,49,1,Rare,Frequent,All withdrawn
Tracy Rivera,16,Female,09/02/2006,,18,644,Student,Other Qualifications,44,3,Occasional,Frequent,All withdrawn
Christopher Jensen,17,Male,14/08/2006,,300,1324,Student,A-Levels,20,2,Occasional,Frequent,All withdrawn
Jennifer Nichols,17,Male,20/02/2007,,425,4804,Student,Other Qualifications,33,3,Rare,Frequent,All withdrawn
William Parker,17,Male,05/01/2006,,819,1945,Student,BTECs,45,2,Frequent,Frequent,All withdrawn
Robert Bowers,17,Male,05/02/2007,,93,2169,Student,A-Levels,28,2,Rare,Frequent,All withdrawn
Tyler Cochran,16,Female,11/06/2005,,728,3323,Student,Apprenticeships,43,3,Rare,Frequent,All withdrawn
David Jones,16,Male,18/10/2006,,512,4997,Student,Apprenticeships,47,1,Occasional,Occasional,All withdrawn
Erin Porter,17,Male,04/12/2005,,168,2339,Student,BTECs,47,2,Rare,Frequent,All withdrawn
Jennifer Lynch,16,Female,15/10/2005,,223,2330,Student,Apprenticeships,21,3,Rare,Frequent,All withdrawn
Anthony Williams,16,Female,13/10/2006,,285,4363,Student,GCSEs,38,2,Rare,Frequent,All withdrawn
Mark Powers Jr.,16,Female,08/10/2006,,583,2464,Student,GCSEs,50,1,Rare,Frequent,All withdrawn
Gloria Vasquez,17,Female,15/05/2005,,371,3557,Student,Apprenticeships,43,2,Occasional,Frequent,All withdrawn
Jacob Wright,16,Female,25/04/2006,,281,2150,Student,Other Qualifications,30,2,Rare,Frequent,All withdrawn
Haley Thompson,16,Male,01/02/2007,,226,3839,Student,Apprenticeships,35,1,Rare,Frequent,All withdrawn
James Rowe,17,Male,28/05/2006,,855,2709,Student,A-Levels,50,2,Rare,Frequent,All withdrawn
Kathleen Gonzalez,17,Female,07/01/2007,,576,2877,Student,Apprenticeships,41,2,Rare,Frequent,All withdrawn
Kimberly Rhodes,16,Female,27/02/2007,,564,2461,Student,BTECs,48,3,Rare,Frequent,All withdrawn
Jacob Case,17,Male,02/09/2006,,631,3012,Student,Other Qualifications,38,3,Occasional,Frequent,All withdrawn
Kevin Ford,16,Male,09/01/2007,,901,2153,Student,Other Qualifications,29,1,Occasional,Frequent,All withdrawn
Jennifer Adams,17,Female,28/07/2006,,459,2926,Student,Apprenticeships,37,2,Occasional,Frequent,All withdrawn
Elizabeth Lane MD,16,Male,10/08/2005,,231,4995,Student,Other Qualifications,45,1,Rare,Frequent,All withdrawn
Sarah Bryant,17,Male,22/04/2006,,987,2727,Student,A-Levels,36,3,Rare,Frequent,All withdrawn
Carol Pearson,16,Female,08/10/2005,,30,4599,Student,GCSEs,31,2,Rare,Frequent,All withdrawn
Monica Nguyen,16,Female,31/01/2007,,290,4555,Student,GCSEs,28,3,Rare,Frequent,All withdrawn
Alexander Mills,17,Male,18/10/2005,,176,837,Student,BTECs,24,3,Occasional,Occasional,All withdrawn
Barbara Mason,17,Female,03/02/2006,,169,640,Student,A-Levels,20,2,Frequent,Frequent,All withdrawn
Jason Johnson,16,Female,14/04/2006,,39,1975,Student,GCSEs,42,2,Occasional,Frequent,All withdrawn
Anthony King,16,Male,25/02/2007,,739,2032,Student,Other Qualifications,38,1,Rare,Frequent,All withdrawn
Chelsea Ochoa,17,Male,04/11/2005,,144,4826,Student,A-Levels,34,1,Occasional,Occasional,All withdrawn
Keith Medina,17,Male,07/04/2007,,640,1214,Student,Other Qualifications,38,2,Rare,Frequent,All withdrawn
Joseph Franklin,17,Female,12/10/2006,,891,1351,Student,BTECs,30,1,Occasional,Frequent,All withdrawn
Emily Delacruz,17,Male,09/01/2007,,388,4749,Student,Apprenticeships,31,2,Occasional,Frequent,All withdrawn
Charles Chandler,17,Female,27/06/2006,,230,1920,Student,A-Levels,35,2,Frequent,Frequent,All withdrawn
Andrew Griffin,16,Female,27/01/2006,,92,2197,Student,BTECs,46,3,Rare,Frequent,All withdrawn
Lisa Carlson,16,Female,13/04/2005,,842,591,Student,GCSEs,26,3,Rare,Frequent,All withdrawn
Sydney Mcguire,17,Male,28/06/2005,,738,2514,Student,A-Levels,48,1,Rare,Occasional,All withdrawn
Shannon Hunt,16,Male,16/02/2006,,29,4211,Student,BTECs,45,3,Rare,Frequent,All withdrawn
Kimberly Wiley,16,Male,06/07/2005,,407,2101,Student,Apprenticeships,35,3,Occasional,Frequent,All withdrawn
Joshua Boyd,17,Male,21/03/2007,,547,2893,Student,Apprenticeships,32,1,Rare,Frequent,All withdrawn
Brandon Espinoza,17,Female,14/10/2006,,491,1070,Student,Apprenticeships,46,2,Rare,Frequent,All withdrawn
Austin Smith,17,Male,04/09/2006,,109,1744,Student,BTECs,49,2,Occasional,Frequent,All withdrawn
Jeff Barton,17,Male,12/02/2007,,101,2062,Student,A-Levels,37,1,Rare,Occasional,All withdrawn
Christopher Johnson,17,Male,08/03/2007,,930,4693,Student,Other Qualifications,28,2,Rare,Frequent,All withdrawn
Leah Williams,17,Female,06/03/2007,,127,1202,Student,A-Levels,43,3,Occasional,Frequent,All withdrawn
Raymond Lewis,17,Female,29/12/2006,,889,1902,Student,A-Levels,37,3,Frequent,Occasional,All withdrawn
Alison Lewis,16,Female,21/12/2005,,436,625,Student,Other Qualifications,29,1,Rare,Occasional,All withdrawn
Cody Munoz,17,Male,03/11/2006,,153,2477,Student,Other Qualifications,44,2,Occasional,Occasional,All withdrawn
Susan Mcmillan,16,Female,30/11/2005,,295,4398,Student,GCSEs,37,2,Occasional,Frequent,All withdrawn
Rhonda Green,17,Male,27/05/2005,,382,3144,Student,Other Qualifications,27,1,Occasional,Frequent,All withdrawn
Jeffrey Calhoun,17,Female,21/08/2006,,111,4472,Student,A-Levels,45,3,Occasional,Frequent,All withdrawn
Janet Huerta,16,Male,23/09/2005,,746,2480,Student,BTECs,22,1,Occasional,Frequent,All withdrawn
Gary Vasquez,17,Female,14/03/2006,,437,1375,Student,Apprenticeships,25,1,Frequent,Frequent,All withdrawn
Mrs. Jenna Miller,16,Male,26/12/2005,,505,3145,Student,BTECs,48,2,Occasional,Frequent,All withdrawn
Mariah Brooks,16,Female,19/11/2005,,271,3305,Student,Other Qualifications,42,3,Rare,Frequent,All withdrawn
Heather Hopkins,16,Female,21/01/2007,,319,1515,Student,Other Qualifications,43,2,Rare,Frequent,All withdrawn
Wesley Medina,16,Female,19/03/2007,,415,3944,Student,Other Qualifications,25,1,Occasional,Frequent,All withdrawn
Lauren Chapman,17,Male,06/01/2007,,585,2102,Student,Apprenticeships,49,1,Rare,Frequent,All withdrawn
Peter Mason,16,Female,10/04/2007,,556,647,Student,Other Qualifications,35,1,Rare,Frequent,All withdrawn
Jacqueline Golden,16,Female,04/04/2006,,348,1510,Student,Apprenticeships,28,1,Occasional,Frequent,All withdrawn
Marcus Williams,17,Female,24/09/2005,,843,3912,Student,Other Qualifications,39,1,Occasional,Occasional,All withdrawn
Andrew Baker,17,Male,04/06/2005,,726,2907,Student,BTECs,27,1,Rare,Frequent,All withdrawn
Danielle Griffin,16,Male,20/01/2006,,651,4141,Student,GCSEs,46,3,Rare,Frequent,All withdrawn
Meredith Morales,17,Female,10/01/2007,,446,959,Student,Other Qualifications,42,3,Occasional,Frequent,All withdrawn
Stephanie Cooper,16,Female,22/12/2006,,553,2899,Student,GCSEs,20,3,Occasional,Frequent,All withdrawn
Penny Irwin,16,Male,09/09/2006,,779,4189,Student,Apprenticeships,39,2,Rare,Frequent,All withdrawn
Felicia Banks,17,Female,30/05/2006,,600,1404,Student,Apprenticeships,29,2,Occasional,Frequent,All withdrawn
Christopher Hernandez,17,Female,21/06/2006,,866,2301,Student,A-Levels,40,3,Rare,Frequent,All withdrawn
Douglas Bryant,16,Female,15/05/2006,,896,2364,Student,BTECs,42,2,Rare,Frequent,All withdrawn
Terry Silva,16,Male,22/04/2006,,478,2902,Student,Apprenticeships,24,3,Occasional,Frequent,All withdrawn
Sheryl Vargas,16,Female,06/02/2006,,803,4503,Student,Apprenticeships,27,1,Rare,Frequent,All withdrawn
Charles Dorsey,16,Female,07/05/2005,,121,4802,Student,BTECs,49,1,Occasional,Frequent,All withdrawn
Brendan Mccarthy DVM,16,Female,11/11/2005,,175,1372,Student,GCSEs,37,2,Occasional,Frequent,All withdrawn
Dawn Rodriguez,17,Female,23/11/2005,,687,531,Student,Apprenticeships,29,2,Occasional,Frequent,All withdrawn
Laura Little,16,Male,16/01/2007,,45,3172,Student,Other Qualifications,36,2,Occasional,Frequent,All withdrawn
Aaron Taylor,17,Female,27/06/2006,,42,4609,Student,BTECs,50,3,Rare,Frequent,All withdrawn
Morgan Mcdonald,16,Female,22/02/2007,,212,3728,Student,Other Qualifications,45,2,Rare,Frequent,All withdrawn
Brian Allen,16,Male,24/11/2006,,408,4573,Student,BTECs,39,2,Rare,Frequent,All withdrawn
Haley Payne,16,Female,02/09/2005,,844,1864,Student,Apprenticeships,21,1,Rare,Frequent,All withdrawn
